x0,y0,x1,y1
-2.19904,0.980024,2.20271,-1.75323
-2.39904,0.980024,2.30271,-1.92643
-2.59904,0.980024,2.40271,-2.09964
-2.79904,0.980024,2.40271,-2.29964
-2.99904,0.980024,2.30271,-2.47284
-3.17225,1.08002,2.12951,-2.57284
-3.27225,1.25323,1.92951,-2.57284
-3.27225,1.45323,1.7563,-2.47284
-3.27225,1.65323,1.6563,-2.29964
-3.27225,1.85323,1.5563,-2.12643
-3.27225,2.05323,1.5563,-1.92643
-3.27225,2.25323,1.6563,-1.75323
-3.27225,2.45323,1.82951,-1.65323
-3.27225,2.65323,2.02951,-1.65323
-3.17225,2.82643,2.22951,-1.65323
-2.99904,2.92643,2.40271,-1.75323
-2.79904,2.92643,2.50271,-1.92643
-2.59904,2.92643,2.60271,-2.09964
-2.42584,2.82643,2.77592,-2.19964
-2.32584,2.65323,2.94912,-2.29964
-2.22584,2.48002,3.04912,-2.47284
-2.12584,2.30682,3.04912,-2.67284
-2.02584,2.13361,3.04912,-2.87284
-1.92584,1.96041,2.94912,-3.04605
-1.92584,1.76041,2.77592,-3.14605
-1.92584,1.56041,2.60271,-3.24605
